1,2,3,4,5,6_1,6_2,6_3,7,8,9,10,11,12_1,12_2,12_3,12_4,13,14,15_1,15_2,15_3,15_4,16,17
1,4,1,广东省,1,1,0,1,1,1,2,2,广州,0,1,0,0,1,2,-3,-3,-3,-3,1,汕头
1,4,1,福建省,1,1,0,0,3,3,3,3,迪拜,0,1,0,0,1,2,-3,-3,-3,-3,2,-3
1,1,1,天津市,1,1,0,0,3,3,2,2,成都,0,1,0,0,1,1,-3,-3,-3,-3,1,西藏
1,1,4,北京市,2,1,1,1,3,3,2,2,新加坡,0,1,0,0,2,-3,1,0,1,0,1,出国
1,4,2,广东省,3,1,0,1,3,2,2,2,无,0,1,0,0,2,-3,1,0,1,1,1,(空)
1,1,1,四川省,3,1,1,1,1,2,2,2,阿尔卑斯山脉瑞士境内段,0,1,0,0,1,2,-3,-3,-3,-3,1,上海
1,4,2,山西省,2,0,1,1,3,2,2,3,美国,0,1,0,0,2,-3,0,0,1,0,1,香港
1,1,1,辽宁省,2,1,1,1,3,3,3,2,厦门,0,0,1,0,2,-3,0,0,1,0,1,(空)
1,2,1,四川省,1,1,1,0,3,3,3,2,川西,1,1,0,0,1,2,-3,-3,-3,-3,1,(空)
1,1,2,广东省,2,1,1,1,4,2,2,2,广州,0,1,1,0,1,2,-3,-3,-3,-3,1,四川
1,1,1,湖南省,3,1,0,0,4,1,2,1,无,0,0,0,1,1,2,-3,-3,-3,-3,1,冰岛
1,1,1,安徽省,4,0,1,0,3,1,1,2,芜湖,0,1,0,0,2,-3,0,0,1,0,2,-3
2,3,3,浙江省,2,1,0,0,3,2,3,2,厦门,0,1,0,0,2,-3,1,0,1,0,1,长沙
1,2,1,山东省,2,1,1,1,2,2,2,2,黄山,1,1,0,1,1,1,-3,-3,-3,-3,1,北京市
1,3,3,山东省,2,0,1,0,2,1,1,2,杭州,1,1,1,1,2,-3,0,0,1,1,2,-3
1,2,2,河北省,1,1,0,1,2,1,2,1,内蒙古,1,1,1,1,1,1,-3,-3,-3,-3,1,湖南省张家界
1,2,2,内蒙古,2,1,0,1,2,2,1,2,宁夏,1,1,1,1,2,-3,0,0,1,0,2,-3
2,2,1,江苏省,2,1,0,0,3,3,3,2,九寨沟,0,1,0,1,2,-3,0,0,1,0,1,宁夏
1,2,1,福建省,1,1,1,1,3,3,1,2,宁夏,0,0,1,0,1,1,-3,-3,-3,-3,2,-3
1,1,1,广东省,2,1,0,1,2,2,2,2,辽宁省大连,1,1,0,1,1,1,-3,-3,-3,-3,2,-3
1,3,1,安徽省,1,1,0,0,3,1,2,2,重庆,0,0,0,1,2,-3,0,0,1,0,2,-3
2,3,1,湖北省,4,0,0,1,3,4,3,3,成都,0,0,0,1,2,-3,0,0,0,1,2,-3
2,3,1,广东省,3,0,0,1,3,4,3,2,西藏,0,1,0,0,2,-3,0,0,0,1,2,-3
2,3,3,广东省,4,1,0,0,4,3,3,3,泰国,0,0,0,1,2,-3,0,0,1,0,2,-3
1,2,1,浙江省,2,1,1,1,2,1,2,1,宁夏,1,1,1,1,2,-3,0,1,1,0,2,-3
2,2,1,甘肃省,2,1,0,0,4,4,3,2,贵州,0,0,1,0,2,-3,0,0,1,0,1,辽宁省大连
2,3,1,福建省,3,0,1,0,3,3,4,3,西藏,0,1,0,0,2,-3,0,0,1,0,2,-3
1,3,1,河北省,2,1,0,0,3,2,2,3,青岛,0,1,1,1,1,1,-3,-3,-3,-3,2,-3
1,1,1,山东省,1,1,0,1,1,2,1,2,湖南省张家界,1,1,1,1,1,1,-3,-3,-3,-3,1,北京市
2,4,1,福建省,3,1,0,0,3,3,4,3,九寨沟,0,0,0,1,2,-3,0,1,0,0,2,-3
2,4,2,江西省,3,1,0,0,4,3,3,3,宁夏回族自治区银川市,0,1,0,0,2,-3,0,0,0,1,2,-3
2,3,2,河南省,5,1,1,1,3,3,2,2,九寨沟,0,1,0,0,2,-3,0,1,1,0,2,-3
1,2,1,广东省,1,1,1,1,3,1,2,3,杭州,0,1,1,1,2,-3,1,0,1,1,2,-3
1,1,1,广西省,2,1,1,0,2,1,2,2,北京市,0,0,1,1,1,1,-3,-3,-3,-3,1,北京市
1,1,2,吉林省,2,1,0,0,2,2,2,2,哈尔滨市,1,1,1,1,2,-3,1,1,1,1,1,黄山
1,2,1,山东省,1,1,0,0,2,2,2,2,黄山,0,0,0,1,2,-3,0,0,1,1,2,-3
1,2,1,内蒙古,1,1,1,1,2,2,2,1,九寨沟,0,0,1,1,1,1,-3,-3,-3,-3,1,宁夏
1,4,1,海南省,1,1,0,1,4,2,2,2,桂林,1,0,0,0,1,2,-3,-3,-3,-3,2,-3
2,3,4,福建省,3,1,0,0,3,5,4,3,桂林,0,1,0,0,2,-3,0,0,1,0,2,-3
1,3,2,黑龙江省,2,1,1,1,2,1,2,3,重庆,1,1,1,1,2,-3,1,1,1,1,2,-3
1,2,2,黑龙江省,1,1,0,1,1,2,2,1,三亚,0,1,1,1,1,1,-3,-3,-3,-3,2,-3
1,3,2,辽宁省,1,1,0,0,2,2,2,2,吉林省长白山,0,0,0,1,1,1,-3,-3,-3,-3,2,-3
1,2,1,辽宁省,2,1,0,0,3,2,3,2,三亚,0,1,1,0,2,-3,0,1,1,0,1,桂林
2,4,1,贵州省,2,0,0,1,3,4,2,3,贵州,1,0,0,0,2,-3,0,0,1,0,2,-3
1,2,2,福建省,2,0,1,0,2,2,3,2,川藏,0,0,1,0,2,-3,0,0,1,1,2,-3
2,4,2,甘肃省,3,0,1,0,3,5,3,3,辽宁省大连,0,1,0,0,2,-3,0,0,1,0,2,-3
1,2,1,广东省,2,1,1,1,2,2,2,2,青岛,0,0,0,1,1,1,-3,-3,-3,-3,2,-3
1,1,1,宁夏省,1,1,1,1,1,2,2,1,九寨沟,1,1,1,1,1,1,-3,-3,-3,-3,1,吉林省长白山
1,1,4,广东省,1,1,1,1,3,3,2,2,辽宁省大连,0,1,0,0,1,2,-3,-3,-3,-3,1,厦门
1,3,1,黑龙江省,1,1,1,1,2,1,2,2,云南,0,1,0,1,1,1,-3,-3,-3,-3,1,内蒙古
1,2,1,山东省,2,0,1,0,3,2,2,2,云南,0,1,1,1,1,1,-3,-3,-3,-3,2,-3
2,4,2,云南省,3,1,0,0,3,3,3,3,成都,0,0,0,1,2,-3,0,0,1,0,2,-3
2,3,4,湖北省,5,0,1,0,4,4,4,3,宁夏回族自治区银川市,0,1,0,0,2,-3,0,1,0,0,2,-3
2,3,1,江苏省,4,0,0,1,4,2,4,3,桂林,1,1,1,1,2,-3,0,0,1,0,2,-3
1,3,1,江苏省,1,0,0,1,2,2,3,2,云南,1,1,0,1,2,-3,1,1,1,0,1,哈尔滨市
1,2,1,四川省,1,1,0,1,3,2,3,2,厦门,0,1,0,0,1,1,-3,-3,-3,-3,2,-3
1,3,1,吉林省,2,1,0,0,3,2,2,2,桂林,1,1,1,1,1,1,-3,-3,-3,-3,2,-3
1,3,3,山东省,2,1,1,0,2,3,2,1,宁夏,0,0,0,1,2,-3,1,1,1,1,1,云南
1,2,1,吉林省,2,0,0,1,2,3,2,2,重庆,0,1,0,1,1,1,-3,-3,-3,-3,1,九寨沟
2,4,1,广东省,5,1,0,0,3,3,4,3,广州,0,0,0,1,2,-3,0,0,1,0,2,-3
1,2,2,江苏省,1,1,0,1,3,2,2,2,宁夏,1,1,1,1,2,-3,1,1,1,1,2,-3
2,2,2,山西省,3,1,0,1,3,4,4,2,桂林,0,0,1,0,2,-3,0,1,1,0,2,-3
1,1,1,广西省,1,1,1,1,2,1,2,2,宁夏,0,0,0,1,1,1,-3,-3,-3,-3,1,三亚
1,2,1,辽宁省,1,1,0,1,2,1,2,2,内蒙古,1,1,1,1,1,1,-3,-3,-3,-3,1,宁夏
2,3,4,四川省,3,1,0,0,3,2,3,3,青岛,0,1,0,0,2,-3,0,0,0,1,2,-3
1,2,4,黑龙江省,1,1,0,1,3,1,2,2,九寨沟,1,1,1,1,1,1,-3,-3,-3,-3,1,黄山
1,2,4,吉林省,2,1,0,1,2,3,1,2,北京市,1,1,1,1,1,1,-3,-3,-3,-3,1,杭州
2,4,1,河南省,2,1,1,1,3,4,3,3,广州,0,0,1,1,2,-3,0,0,1,0,2,-3
2,4,1,四川省,4,0,0,1,4,3,3,3,宁夏回族自治区银川市,0,1,1,1,2,-3,1,0,0,0,2,-3
1,3,1,黑龙江省,1,1,0,0,2,3,1,1,湖南省张家界,0,1,0,0,2,-3,1,1,1,0,1,哈尔滨市
2,3,1,江苏省,3,0,1,0,3,5,2,2,九寨沟,1,1,1,1,2,-3,0,0,1,0,2,-3
1,2,2,辽宁省,1,1,1,0,1,2,2,2,三亚,1,1,0,1,1,1,-3,-3,-3,-3,1,九寨沟
1,2,4,山东省,1,1,0,1,2,2,2,1,重庆,1,1,1,1,1,2,-3,-3,-3,-3,1,三亚
1,1,1,江苏省,1,1,0,0,1,2,2,2,内蒙古,1,1,1,1,2,-3,1,1,1,1,1,杭州
1,2,1,安徽省,1,1,0,0,2,3,2,2,北京市,0,1,0,1,1,1,-3,-3,-3,-3,2,-3
1,2,1,黑龙江省,2,1,1,1,3,2,2,2,吉林省长白山,0,0,0,1,2,-3,0,0,1,0,2,-3
1,2,4,安徽省,2,0,1,0,3,2,2,2,辽宁省大连,1,1,1,1,1,1,-3,-3,-3,-3,1,杭州
1,3,4,辽宁省,2,1,0,0,3,2,2,2,桂林,0,1,1,1,2,-3,0,1,1,0,1,宁夏回族自治区银川市
1,2,2,吉林省,3,0,1,0,2,2,2,2,青岛,1,1,1,1,2,-3,0,0,1,0,2,-3
1,2,2,山东省,1,1,0,1,1,2,2,2,内蒙古,1,0,0,0,1,1,-3,-3,-3,-3,2,-3
2,3,1,山西省,5,1,0,1,3,4,3,2,广州,0,0,0,1,2,-3,0,0,1,0,2,-3
2,3,2,湖北省,4,1,0,0,3,4,3,3,成都,1,0,0,0,2,-3,0,0,1,0,2,-3
1,1,4,江苏省,1,1,0,0,1,2,2,2,内蒙古,1,1,1,1,2,-3,1,1,1,1,1,杭州
1,3,2,吉林省,2,1,1,0,2,2,2,2,黄山,0,0,0,1,2,-3,1,0,0,0,2,-3
1,3,1,辽宁省,1,1,0,1,2,1,2,2,三亚,0,1,1,1,1,1,-3,-3,-3,-3,1,吉林省长白山
2,3,4,陕西省,2,0,1,0,3,3,3,3,西藏,1,0,0,0,2,-3,0,1,0,0,2,-3
2,4,4,贵州省,4,0,0,1,4,3,4,3,泰国,0,0,0,1,2,-3,0,0,1,0,2,-3
1,3,4,山东省,1,1,0,1,2,2,1,2,三亚,1,1,1,1,1,1,-3,-3,-3,-3,1,三亚
2,4,2,甘肃省,3,1,0,0,4,3,3,3,泰国,0,1,0,1,2,-3,0,0,0,1,2,-3
1,3,1,河北省,1,1,0,0,2,1,2,1,九寨沟,1,1,1,1,1,1,-3,-3,-3,-3,1,黄山
1,4,1,江苏省,1,0,1,0,3,2,3,2,辽宁省大连,0,1,0,0,2,-3,0,1,1,0,2,-3
2,4,1,河南省,4,0,0,1,3,5,4,3,贵州,0,1,0,1,2,-3,0,1,0,0,2,-3
2,4,1,海南省,3,0,1,0,3,3,4,3,贵州,0,0,1,0,2,-3,1,0,0,0,2,-3
1,1,4,山东省,2,1,1,1,1,1,1,2,三亚,0,1,0,1,1,1,-3,-3,-3,-3,2,-3
2,4,1,河南省,4,1,1,1,3,2,3,2,哈尔滨市,0,0,0,1,2,-3,0,0,1,0,2,-3
2,4,4,湖北省,3,1,1,1,4,3,2,3,西藏,0,0,0,1,2,-3,0,1,0,0,2,-3
2,2,3,海南省,2,1,0,0,4,3,2,2,杭州,1,1,1,1,2,-3,0,0,0,1,2,-3
1,2,1,广西省,2,1,0,1,2,3,2,2,九寨沟,0,0,1,0,1,1,-3,-3,-3,-3,2,-3
1,1,1,辽宁省,2,1,0,1,1,2,2,2,湖南省张家界,1,0,1,1,2,-3,1,1,1,1,1,北京市
1,3,1,福建省,2,0,0,1,4,4,2,3,重庆,0,0,1,0,2,-3,0,0,1,0,2,-3
2,3,1,四川省,2,1,0,0,3,3,3,3,川藏,1,0,1,1,2,-3,0,0,0,1,1,哈尔滨市
1,2,4,宁夏省,1,1,1,1,2,2,1,2,哈尔滨市,1,1,1,1,2,-3,1,1,1,1,1,青岛
1,2,2,山东省,1,1,0,0,3,2,2,2,辽宁省大连,0,1,0,0,2,-3,0,1,0,0,2,-3
1,2,1,河北省,1,1,1,1,3,1,2,2,重庆,1,1,1,1,2,-3,1,1,1,0,1,辽宁省大连
2,3,4,山西省,3,0,1,0,3,3,3,3,川藏,1,0,0,0,2,-3,0,1,0,0,2,-3
2,4,4,云南省,3,0,1,0,3,5,3,3,川藏,1,0,0,0,2,-3,0,0,0,1,2,-3
1,3,1,内蒙古,2,1,0,1,1,2,3,2,杭州,1,1,1,1,1,1,-3,-3,-3,-3,1,云南
1,2,3,福建省,2,1,1,1,2,2,2,2,辽宁省大连,1,1,1,1,1,1,-3,-3,-3,-3,1,云南
2,4,2,四川省,5,0,0,1,4,4,3,3,广州,1,0,0,0,2,-3,0,0,1,0,2,-3
2,3,1,浙江省,2,0,0,1,3,4,3,2,泰国,0,1,0,0,2,-3,1,1,1,0,2,-3
2,3,2,山东省,2,1,0,0,2,4,3,3,哈尔滨市,0,0,0,1,2,-3,0,0,1,0,2,-3
2,4,2,山东省,3,1,0,1,3,5,3,2,广州,0,1,0,0,2,-3,0,0,1,1,2,-3
1,2,1,浙江省,1,0,0,1,2,2,2,2,内蒙古,0,0,0,1,1,1,-3,-3,-3,-3,1,湖南省张家界
1,4,1,云南省,1,1,0,0,2,3,2,3,广州,0,1,0,0,2,-3,0,0,1,0,2,-3
2,4,1,湖北省,5,1,0,0,3,3,3,3,泰国,0,0,1,0,2,-3,1,0,0,0,2,-3
2,4,2,陕西省,2,1,0,0,4,3,2,3,成都,0,0,0,1,2,-3,0,1,1,0,2,-3
2,3,1,山东省,2,1,0,0,2,4,3,3,哈尔滨市,0,0,0,1,2,-3,0,0,1,0,2,-3
1,3,4,浙江省,2,1,0,0,2,1,2,2,哈尔滨市,0,0,0,1,2,-3,1,1,1,1,2,-3
2,3,1,广东省,3,0,1,0,4,4,3,3,川藏,1,1,1,1,1,2,-3,-3,-3,-3,2,-3
1,1,1,辽宁省,2,1,0,1,2,1,2,2,湖南省张家界,1,1,1,1,2,-3,0,1,1,0,2,-3
